cycle,capacity,avg_voltage,min_voltage,avg_current,avg_temp,duration,SOH,RUL,cell,source_folder,source_file,source_path
2,1.8564874208181572,3.52982866886934,2.612467347907089,-1.8187019641679727,32.572328114029,3690.234,1.0,354,1. BatteryAgingARC-FY08Q4_B0005,1. BatteryAgingARC-FY08Q4,B0005.mat,../data/nasa/5.+Battery+Data+Set/5. Battery Data Set/1. BatteryAgingARC-FY08Q4/B0005.mat
4,1.846327249719927,3.5373201277859714,2.587208728940726,-1.817559850661287,32.72523522519307,3672.344,0.9945272071416714,352,1. BatteryAgingARC-FY08Q4_B0005,1. BatteryAgingARC-FY08Q4,B0005.mat,../data/nasa/5.+Battery+Data+Set/5. Battery Data Set/1. BatteryAgingARC-FY08Q4/B0005.mat
6,1.835349194223408,3.5437367282719,2.65191689384378,-1.816486541884096,32.64286193755933,3651.641,0.9886138595081704,350,1. BatteryAgingARC-FY08Q4_B0005,1. BatteryAgingARC-FY08Q4,B0005.mat,../data/nasa/5.+Battery+Data+Set/5. Battery Data Set/1. BatteryAgingARC-FY08Q4/B0005.mat
8,1.8352625275821128,3.5436661072601456,2.592947964776547,-1.8255891938692528,32.51487646204882,3631.563,0.9885671763794172,348,1. BatteryAgingARC-FY08Q4_B0005,1. BatteryAgingARC-FY08Q4,B0005.mat,../data/nasa/5.+Battery+Data+Set/5. Battery Data Set/1. BatteryAgingARC-FY08Q4/B0005.mat
10,1.8346455082120416,3.5423432526672167,2.547419651124539,-1.8261139590277584,32.38234901543077,3629.172,0.9882348178817772,346,1. BatteryAgingARC-FY08Q4_B0005,1. BatteryAgingARC-FY08Q4,B0005.mat,../data/nasa/5.+Battery+Data+Set/5. Battery Data Set/1. BatteryAgingARC-FY08Q4/B0005.mat
12,1.8356616600675493,3.541334734634757,2.5209480504077413,-1.8168108743168805,32.43418218230641,3652.281,0.9887821697485945,344,1. BatteryAgingARC-FY08Q4_B0005,1. BatteryAgingARC-FY08Q4,B0005.mat,../data/nasa/5.+Battery+Data+Set/5. Battery Data Set/1. BatteryAgingARC-FY08Q4/B0005.mat
14,1.8351461429226603,3.541025049507521,2.487927319492314,-1.816791144707133,32.480416444757985,3650.828,0.9885044855913476,342,1. BatteryAgingARC-FY08Q4_B0005,1. BatteryAgingARC-FY08Q4,B0005.mat,../data/nasa/5.+Battery+Data+Set/5. Battery Data Set/1. BatteryAgingARC-FY08Q4/B0005.mat
16,1.8257567905665535,3.554133296801584,2.665204904745877,-1.844341212075406,32.41046186109587,3572.453,0.9834468955151549,340,1. BatteryAgingARC-FY08Q4_B0005,1. BatteryAgingARC-FY08Q4,B0005.mat,../data/nasa/5.+Battery+Data+Set/5. Battery Data Set/1. BatteryAgingARC-FY08Q4/B0005.mat
18,1.8247738529891333,3.5529355991467955,2.603858472633368,-1.853972745505648,32.3461408313,3550.594,0.9829174345738104,338,1. BatteryAgingARC-FY08Q4_B0005,1. BatteryAgingARC-FY08Q4,B0005.mat,../data/nasa/5.+Battery+Data+Set/5. Battery Data Set/1. BatteryAgingARC-FY08Q4/B0005.mat
20,1.824613268496936,3.5512057319377,2.552853984885676,-1.853589933851096,32.27679750791685,3551.25,0.982830935473199,336,1. BatteryAgingARC-FY08Q4_B0005,1. BatteryAgingARC-FY08Q4,B0005.mat,../data/nasa/5.+Battery+Data+Set/5. Battery Data Set/1. BatteryAgingARC-FY08Q4/B0005.mat
