severity,seed,H,cal_frac,ece_cal,ece_recal,n_cal,n_eval
1,42,10,0.05,0.34138588925687097,0.20748481485812412,8,155
1,42,10,0.1,0.33632981048298655,0.12267610148786484,16,147
1,42,10,0.2,0.3535052407285398,0.12413135421185092,32,131
1,42,10,0.5,0.38696581526018664,0.14313211151194277,81,82
1,42,20,0.05,0.3309519855911438,0.08951612903225808,8,155
1,42,20,0.1,0.3273125588646954,0.06766505477329096,16,147
1,42,20,0.2,0.30827071139955564,0.1171963353648441,32,131
1,42,20,0.5,0.35365709366031967,0.07704635907714141,81,82
1,42,30,0.05,0.385649993011235,0.10875578195818006,8,155
1,42,30,0.1,0.36647409239679746,0.20111843634105359,16,147
1,42,30,0.2,0.36976106942071874,0.08978710291602375,32,131
1,42,30,0.5,0.3975755089627262,0.13205461440289895,81,82
1,42,50,0.05,0.5539438539729079,0.2809831469289718,8,155
1,42,50,0.1,0.5665777642519993,0.2569027278496294,16,147
1,42,50,0.2,0.5692838497396772,0.2450516885857432,32,131
1,42,50,0.5,0.6080956655597903,0.08357705721041052,81,82
1,123,10,0.05,0.328840266618114,0.000806451612903214,8,155
1,123,10,0.1,0.3401589826750903,0.16423855783721925,16,147
1,123,10,0.2,0.3164273423640918,0.08855335718689072,32,131
1,123,10,0.5,0.2924337532076321,0.07622830620036947,81,82
1,123,20,0.05,0.31773298128666255,0.13600541455671192,8,155
1,123,20,0.1,0.312426763028302,0.2813347916999439,16,147
1,123,20,0.2,0.31966065335898847,0.03950389566163017,32,131
1,123,20,0.5,0.3622785886424686,0.14011204369911337,81,82
1,123,30,0.05,0.3892121971561286,0.34981817238092905,8,155
1,123,30,0.1,0.3812481489276429,0.2172552790670168,16,147
1,123,30,0.2,0.41197489005279986,0.2254336342066242,32,131
1,123,30,0.5,0.40786760510910275,0.11986261751593612,81,82
1,123,50,0.05,0.5626241273834354,0.5258064516129032,8,155
1,123,50,0.1,0.5179719211196477,0.2094339549550977,16,147
1,123,50,0.2,0.5609551856151057,0.08891432239222594,32,131
1,123,50,0.5,0.6272145284678181,0.17166047052639286,81,82
1,456,10,0.05,0.33668878086477866,0.20711325884105702,8,155
1,456,10,0.1,0.3344486230668524,0.25462391141320573,16,147
1,456,10,0.2,0.34157425003651365,0.17564326600804356,32,131
1,456,10,0.5,0.3553339557521487,0.1333263678158202,81,82
1,456,20,0.05,0.30623032765502356,0.3131598008676401,8,155
1,456,20,0.1,0.3259280849391781,0.20572528232928033,16,147
1,456,20,0.2,0.2976790681692619,0.07977901940511269,32,131
1,456,20,0.5,0.3106940805445261,0.060324330314448706,81,82
1,456,30,0.05,0.38629451013353977,0.09596774193548385,8,155
1,456,30,0.1,0.38458540806169356,0.11346702024239261,16,147
1,456,30,0.2,0.36575105749743475,0.11837645295922085,32,131
1,456,30,0.5,0.35135573040486723,0.114017347555335,81,82
1,456,50,0.05,0.5469452670615944,0.2637096774193548,8,155
1,456,50,0.1,0.5328401762279833,0.07286560900357308,16,147
1,456,50,0.2,0.51345350147126,0.1835072468255313,32,131
1,456,50,0.5,0.5301396072366382,0.1380727956207787,81,82
1,789,10,0.05,0.3448150945047008,0.20560351223459528,8,155
1,789,10,0.1,0.32801350420988634,0.2788153501594959,16,147
1,789,10,0.2,0.3611993612228273,0.18573387843051942,32,131
1,789,10,0.5,0.3156111222027463,0.040593095441780434,81,82
1,789,20,0.05,0.33420492915812444,0.21558722248000484,8,155
1,789,20,0.1,0.32278764282121836,0.09018799147828396,16,147
1,789,20,0.2,0.33119505917483705,0.09385355694560715,32,131
1,789,20,0.5,0.32590676804626306,0.06485729246604735,81,82
1,789,30,0.05,0.40288867278625246,0.28052641129301437,8,155
1,789,30,0.1,0.3969748270633767,0.2707842002515079,16,147
1,789,30,0.2,0.4042418396828031,0.14700431541632153,32,131
1,789,30,0.5,0.4010245005696496,0.07297349557643984,81,82
1,789,50,0.05,0.5335209782311602,0.22966578583563524,8,155
1,789,50,0.1,0.5267933714350983,0.09829386947106342,16,147
1,789,50,0.2,0.5641517566174069,0.12045683797079186,32,131
1,789,50,0.5,0.5652666788496634,0.08021346170727797,81,82
1,101112,10,0.05,0.3206124587376367,0.3479312007540777,8,155
1,101112,10,0.1,0.34040694520072706,0.25794295232654324,16,147
1,101112,10,0.2,0.3348887397269749,0.039651501042242264,32,131
1,101112,10,0.5,0.33764401166605595,0.03603364309159723,81,82
1,101112,20,0.05,0.3386380740790668,0.2713571296103539,8,155
1,101112,20,0.1,0.3249067744792689,0.13509400382156478,16,147
1,101112,20,0.2,0.2760687841531424,0.24713365881497623,32,131
1,101112,20,0.5,0.29206965945136193,0.09699796521809041,81,82
1,101112,30,0.05,0.3915562206803733,0.1025078721344471,8,155
1,101112,30,0.1,0.4112263931938164,0.21585324548539667,16,147
1,101112,30,0.2,0.4014580336648585,0.2723831371155404,32,131
1,101112,30,0.5,0.40496634203379317,0.08623750907618828,81,82
1,101112,50,0.05,0.5487012760065014,0.12361243463331656,8,155
1,101112,50,0.1,0.5280918995119608,0.14625838013733322,16,147
1,101112,50,0.2,0.5487636871542785,0.05127264001897275,32,131
1,101112,50,0.5,0.5333955746490456,0.1045132130384445,81,82
2,42,10,0.05,0.33325862032549186,0.2143042501933392,8,155
2,42,10,0.1,0.32823939026135407,0.10300806868301869,16,147
2,42,10,0.2,0.34314699572583784,0.1204197711616982,32,131
2,42,10,0.5,0.3800659005844198,0.10428687748385637,81,82
2,42,20,0.05,0.3110571662760266,0.12282258649506876,8,155
2,42,20,0.1,0.30848852541099203,0.1101932097859934,16,147
2,42,20,0.2,0.2888036758764161,0.10301595050415012,32,131
2,42,20,0.5,0.33786185751321685,0.08837813066273198,81,82
2,42,30,0.05,0.39514268547263165,0.09596774193548385,8,155
2,42,30,0.1,0.3730915892996462,0.23979591836734693,16,147
2,42,30,0.2,0.3787244917101167,0.09202265716691052,32,131
2,42,30,0.5,0.4056420727941368,0.05579729759838527,81,82
2,42,50,0.05,0.5346128882780489,0.2906858270146674,8,155
2,42,50,0.1,0.5476594835176001,0.24809048704955042,16,147
2,42,50,0.2,0.5476211885756171,0.21996974996255556,32,131
2,42,50,0.5,0.5834374693201918,0.055827565672920965,81,82
2,123,10,0.05,0.3201052235904495,0.042489245798318635,8,155
2,123,10,0.1,0.3316499117828931,0.12309664654383931,16,147
2,123,10,0.2,0.3085313833440017,0.0698379187183526,32,131
2,123,10,0.5,0.2838487037419139,0.12688490257757468,81,82
2,123,20,0.05,0.30126854050846885,0.16086604979730418,8,155
2,123,20,0.1,0.29507872731268747,0.27847883652667604,16,147
2,123,20,0.2,0.30085006649564977,0.027042923395642845,32,131
2,123,20,0.5,0.33817495268578546,0.08785013527404968,81,82
2,123,30,0.05,0.38943540833253193,0.4057332272491148,8,155
2,123,30,0.1,0.38133197641657746,0.18894010194304853,16,147
2,123,30,0.2,0.41523552167183136,0.2402525915842475,32,131
2,123,30,0.5,0.4097129333915889,0.04282123213861049,81,82
2,123,50,0.05,0.5442866187996906,0.5698213380461018,8,155
2,123,50,0.1,0.49879819276201176,0.21231809886945346,16,147
2,123,50,0.2,0.5421337933854103,0.05178414501306663,32,131
2,123,50,0.5,0.6033063970715714,0.12225250500004461,81,82
2,456,10,0.05,0.3221365046708263,0.2149069317376181,8,155
2,456,10,0.1,0.32325746663505955,0.21098241296800352,16,147
2,456,10,0.2,0.31682048902206683,0.13242365180991078,32,131
2,456,10,0.5,0.35028668416490977,0.07481239917801649,81,82
2,456,20,0.05,0.28911434290133453,0.3272462761330027,8,155
2,456,20,0.1,0.307880618022023,0.21189449864382645,16,147
2,456,20,0.2,0.28052938759570023,0.07463060108987432,32,131
2,456,20,0.5,0.28828097929781205,0.0446561047943627,81,82
2,456,30,0.05,0.39240469343316003,0.2529226648471048,8,155
2,456,30,0.1,0.38843110923243246,0.13672059085093385,16,147
2,456,30,0.2,0.37131708948994413,0.11009158606406387,32,131
2,456,30,0.5,0.35596153356679605,0.03911715237105769,81,82
2,456,50,0.05,0.5292417990581152,0.21742286012027293,8,155
2,456,50,0.1,0.5153134824270047,0.14710683962266866,16,147
2,456,50,0.2,0.49885418923494323,0.15087745583239404,32,131
2,456,50,0.5,0.5143916061325708,0.0852118977686254,81,82
2,789,10,0.05,0.3324989648183717,0.20194252509503594,8,155
2,789,10,0.1,0.32613239567167474,0.25818689917626025,16,147
2,789,10,0.2,0.35241737130064094,0.18419140452902963,32,131
2,789,10,0.5,0.30228269065473146,0.0256727770334337,81,82
2,789,20,0.05,0.3129889905499796,0.17406961527322568,8,155
2,789,20,0.1,0.3009974616910216,0.08947850571514493,16,147
2,789,20,0.2,0.3068980180375585,0.09437471628011353,32,131
2,789,20,0.5,0.3019919679766072,0.10184016024194113,81,82
2,789,30,0.05,0.4043400132217023,0.25067403431861635,8,155
2,789,30,0.1,0.3999407209376637,0.3625750152495544,16,147
2,789,30,0.2,0.40393674331339396,0.1507024512491153,32,131
2,789,30,0.5,0.40572451396968373,0.09753343826386984,81,82
2,789,50,0.05,0.510512473908624,0.1387216141146998,8,155
2,789,50,0.1,0.5056788184919104,0.11682675515307864,16,147
2,789,50,0.2,0.5405743338378373,0.09632194980637718,32,131
2,789,50,0.5,0.5411264177974769,0.0780060960025322,81,82
2,101112,10,0.05,0.31406281549928833,0.40556422625818567,8,155
2,101112,10,0.1,0.3365253132562329,0.29160109897806197,16,147
2,101112,10,0.2,0.3287934647249053,0.03168237254642066,32,131
2,101112,10,0.5,0.3207160934801109,0.037674624018552844,81,82
2,101112,20,0.05,0.3103151718098439,0.4108527250828281,8,155
2,101112,20,0.1,0.2950424897736258,0.21324396051060995,16,147
2,101112,20,0.2,0.24359323736837668,0.2759722921684498,32,131
2,101112,20,0.5,0.26251185278132483,0.05658271469221247,81,82
2,101112,30,0.05,0.3870434031505001,0.2349079676212803,8,155
2,101112,30,0.1,0.40804592729476485,0.17776374022165933,16,147
2,101112,30,0.2,0.398303170957267,0.13916215387293857,32,131
2,101112,30,0.5,0.40067964004671885,0.049513889113213964,81,82
2,101112,50,0.05,0.5289002787352243,0.15939185971829803,8,155
2,101112,50,0.1,0.5098153346238505,0.16817722677373564,16,147
2,101112,50,0.2,0.5273431289694209,0.0353162029317317,32,131
2,101112,50,0.5,0.5128791149967429,0.04194893488069859,81,82
3,42,10,0.05,0.32222357276828884,0.1935483870967742,8,155
3,42,10,0.1,0.3182116535199301,0.12427398320414176,16,147
3,42,10,0.2,0.3329555451004084,0.08310738228659595,32,131
3,42,10,0.5,0.371357786139649,0.11799774373449932,81,82
3,42,20,0.05,0.3096287142276288,0.13584635807952336,8,155
3,42,20,0.1,0.3065993782506523,0.09658099201248112,16,147
3,42,20,0.2,0.28359490461963904,0.14425662730799152,32,131
3,42,20,0.5,0.32991553436457727,0.061813317421006014,81,82
3,42,30,0.05,0.3798148712247473,0.09596774193548385,8,155
3,42,30,0.1,0.3585684318120232,0.2501969009029622,16,147
3,42,30,0.2,0.3686832314842557,0.023312063162563394,32,131
3,42,30,0.5,0.39129256722761563,0.09156753886036753,81,82
3,42,50,0.05,0.5135748031148855,0.3392958177313689,8,155
3,42,50,0.1,0.5273805905494017,0.2824839275040455,16,147
3,42,50,0.2,0.5245169270126652,0.1759761826682637,32,131
3,42,50,0.5,0.5751095305799597,0.09066710530257803,81,82
3,123,10,0.05,0.31314833205409576,0.07083386786041722,8,155
3,123,10,0.1,0.3245380283072318,0.1721033378928697,16,147
3,123,10,0.2,0.29978771146783945,0.06616439422919548,32,131
3,123,10,0.5,0.276220679511438,0.08533562101968906,81,82
3,123,20,0.05,0.3009570915570537,0.13052472954450717,8,155
3,123,20,0.1,0.29237962306397514,0.24972164868195004,16,147
3,123,20,0.2,0.3003047482167653,0.041001235710755556,32,131
3,123,20,0.5,0.3379152175127917,0.09613361882000432,81,82
3,123,30,0.05,0.384375663506362,0.31965680890866827,8,155
3,123,30,0.1,0.3739348551499161,0.11293347696868741,16,147
3,123,30,0.2,0.39265218233479343,0.14899275956661193,32,131
3,123,30,0.5,0.3923936148977563,0.01893930802712354,81,82
3,123,50,0.05,0.5125927028908488,0.44203523849287346,8,155
3,123,50,0.1,0.47621550486698466,0.11383535525425764,16,147
3,123,50,0.2,0.5145868434990911,0.03720228285315442,32,131
3,123,50,0.5,0.5843012700260222,0.07561721961672717,81,82
3,456,10,0.05,0.3109876792774071,0.20028443490305256,8,155
3,456,10,0.1,0.31022560537010324,0.16665543240754785,16,147
3,456,10,0.2,0.3054307862180913,0.06106869319013058,32,131
3,456,10,0.5,0.33988910873474143,0.09545049198516986,81,82
3,456,20,0.05,0.28968718809052,0.2769488388492215,8,155
3,456,20,0.1,0.30820767829246937,0.28557930491408523,16,147
3,456,20,0.2,0.277039654165719,0.09675817508854773,32,131
3,456,20,0.5,0.2942327833195081,0.045769034362420795,81,82
3,456,30,0.05,0.3730477692024789,0.08760140480533722,8,155
3,456,30,0.1,0.36975208635583007,0.09338242190630258,16,147
3,456,30,0.2,0.3514685116605372,0.1869706066768196,32,131
3,456,30,0.5,0.32996478095215687,0.07965866240059453,81,82
3,456,50,0.05,0.5013384033814444,0.2566484717231604,8,155
3,456,50,0.1,0.48661608587943905,0.19748752399468097,16,147
3,456,50,0.2,0.47524324690219866,0.13475397014537227,32,131
3,456,50,0.5,0.4964263172696808,0.062128253462837964,81,82
3,789,10,0.05,0.32205955726506014,0.26215243663999344,8,155
3,789,10,0.1,0.3107373202284675,0.2592022617657979,16,147
3,789,10,0.2,0.3489957213862336,0.19146654396566723,32,131
3,789,10,0.5,0.27941151544529025,0.06945510899148337,81,82
3,789,20,0.05,0.3150084153249201,0.20033891926850037,8,155
3,789,20,0.1,0.30313921618449413,0.06864648003156493,16,147
3,789,20,0.2,0.31361838264230835,0.15755935465447776,32,131
3,789,20,0.5,0.3003165185692271,0.055227603240892674,81,82
3,789,30,0.05,0.3988690777090416,0.3388165632082569,8,155
