severity,seed,H,ece_pert,ece_ablat,delta_ece,frac_recovered,auc_pert,auc_ablat,val_n,val_pos
1,42,10,0.33001064976526434,0.050519704326178194,-0.27949094543908615,0.8469149272542789,0.5661362905818064,0.7205882352941176,163,61
1,42,20,0.3246066938647892,0.12025716105889846,-0.20434953280589074,0.6295296328393337,0.6128787878787878,0.730909090909091,163,75
1,42,30,0.3878008385701926,0.14466009812380082,-0.24314074044639178,0.6269732199209335,0.5644283121597096,0.7580157289776165,163,87
1,42,50,0.5431076670677782,0.2848332340934691,-0.25827443297430913,0.47554923017147765,0.4783027965284475,0.6926229508196722,163,102
1,123,10,0.3278605010270936,0.03727883866177411,-0.29058166236531946,0.886296645844833,0.5718418514946962,0.7092574734811957,163,61
1,123,20,0.3199358961139193,0.1298284781602424,-0.19010741795367692,0.5942047149532277,0.6406060606060606,0.7272727272727273,163,75
1,123,30,0.3902772308404036,0.15835750102515403,-0.23191972981524958,0.5942435568578909,0.5643526920750151,0.779340592861464,163,87
1,123,50,0.542010996781456,0.28570585498705947,-0.25630514179439656,0.47287812113845584,0.4790260366441659,0.6833011893281903,163,102
1,456,10,0.3280154698902459,0.0403930910238161,-0.2876223788664298,0.8768561402383502,0.5689488910318226,0.7107039537126325,163,61
1,456,20,0.3214453877055875,0.12256992286476726,-0.19887546484082025,0.618691300131426,0.6473484848484847,0.7252272727272727,163,75
1,456,30,0.39000570144082886,0.15970105952994149,-0.23030464191088737,0.5905160900470294,0.5497580157289775,0.7608892921960072,163,87
1,456,50,0.540738028863186,0.26996449578194454,-0.27077353308124147,0.5007480861860205,0.48207971713275477,0.7083735133397621,163,102
1,789,10,0.3334588439957396,0.029789072540076525,-0.3036697714556631,0.9106664193304254,0.570073931211829,0.7040340726454516,163,61
1,789,20,0.3235071253312356,0.11348397687104234,-0.21002314846019327,0.6492071797341488,0.6024242424242425,0.7213636363636363,163,75
1,789,30,0.38802231122446723,0.13610377913058017,-0.25191853209388704,0.6492372340624366,0.5581518451300665,0.7513611615245009,163,87
1,789,50,0.5423798148351829,0.2624772314589658,-0.27990258337621715,0.5160637909456001,0.48328511732561874,0.7187399549983928,163,102
1,101112,10,0.3286494630559498,0.03097400196954752,-0.29767546108640225,0.905753681501453,0.5698328511732562,0.7074091931854709,163,61
1,101112,20,0.3277226925873464,0.12308123882162662,-0.20464145376571974,0.6244347992813395,0.5797727272727273,0.7215151515151516,163,75
1,101112,30,0.3921005690152714,0.12520520633599122,-0.26689536267928016,0.6806808859001814,0.5385662431941923,0.7564277071990321,163,87
1,101112,50,0.5429739135690047,0.28065737354324793,-0.2623165400257568,0.48311075996548747,0.45515911282545807,0.6933461909353905,163,102
2,42,10,0.3222822651986154,0.03752922370332369,-0.28475304149529174,0.8835516944123647,0.5200096432015429,0.6813725490196079,163,61
2,42,20,0.305325969774562,0.09961377614163447,-0.20571219363292753,0.6737461401819684,0.5979545454545455,0.7648484848484849,163,75
2,42,30,0.39682763201507903,0.1501213451131665,-0.24670628690191254,0.6216963411775165,0.49039624924379915,0.7460677555958862,163,87
2,42,50,0.5236415288592026,0.2861457263204532,-0.23749580253874936,0.45354653794582356,0.5265991642558663,0.6611218257794921,163,102
2,123,10,0.319554171767658,0.03865919307479699,-0.280894978692861,0.8790214727570342,0.5075538412086146,0.6911764705882353,163,61
2,123,20,0.3032161313657394,0.09509876638844836,-0.20811736497729103,0.6863664015495924,0.5764393939393939,0.7567424242424242,163,75
2,123,30,0.3924904188580881,0.1605447255109775,-0.2319456933471106,0.5909588672812283,0.48638838475499097,0.7557471264367815,163,87
