Horizon,Severity,ECE (raw),ECE (cal),ECE (recal),ECE (Platt),ECE (temp),AUC (raw),AUC (cal),AUC (recal)
H=10,1,0.365,0.332,0.203,0.152,0.105,0.624,0.572,0.658
H=10,2,0.362,0.325,0.203,0.152,0.103,0.569,0.514,0.591
H=10,3,0.363,0.312,0.206,0.152,0.100,0.627,0.579,0.670
H=10,4,0.363,0.326,0.184,0.152,0.117,0.747,0.674,0.760
H=20,1,0.442,0.317,0.141,0.131,0.101,0.525,0.616,0.584
H=20,2,0.437,0.296,0.186,0.133,0.088,0.515,0.577,0.566
H=20,3,0.435,0.298,0.131,0.133,0.090,0.629,0.566,0.672
H=20,4,0.436,0.310,0.128,0.137,0.196,0.757,0.679,0.761
H=30,1,0.509,0.383,0.148,0.091,0.136,0.606,0.548,0.625
H=30,2,0.503,0.386,0.163,0.088,0.133,0.493,0.480,0.554
H=30,3,0.497,0.377,0.111,0.088,0.261,0.576,0.515,0.652
H=30,4,0.500,0.393,0.128,0.089,0.300,0.695,0.644,0.746
H=50,1,0.630,0.541,0.167,0.124,0.266,0.503,0.481,0.539
H=50,2,0.622,0.521,0.144,0.120,0.252,0.560,0.527,0.638
H=50,3,0.620,0.499,0.067,0.123,0.379,0.588,0.585,0.740
H=50,4,0.605,0.492,0.121,0.151,0.377,0.808,0.768,0.804
