Horizon,Severity,Clean ECE,Perturbed,Recal (iso),Recal (Platt),Recal (Temp),Recovery %
H=10,1,0.337,0.332$\pm$0.017,0.203$\pm$0.100,0.152$\pm$0.090,0.105$\pm$0.085,39%
H=10,2,0.337,0.325$\pm$0.021,0.203$\pm$0.138,0.152$\pm$0.090,0.103$\pm$0.077,37%
H=10,3,0.337,0.312$\pm$0.019,0.206$\pm$0.120,0.152$\pm$0.090,0.100$\pm$0.081,34%
H=10,4,0.337,0.326$\pm$0.019,0.184$\pm$0.064,0.152$\pm$0.090,0.117$\pm$0.079,44%
H=20,1,0.231,0.317$\pm$0.016,0.141$\pm$0.060,0.131$\pm$0.077,0.101$\pm$0.011,56%
H=20,2,0.231,0.296$\pm$0.015,0.186$\pm$0.054,0.133$\pm$0.077,0.088$\pm$0.062,37%
H=20,3,0.231,0.298$\pm$0.015,0.131$\pm$0.032,0.133$\pm$0.077,0.090$\pm$0.080,56%
H=20,4,0.231,0.310$\pm$0.015,0.128$\pm$0.055,0.137$\pm$0.067,0.196$\pm$0.062,59%
H=30,1,0.369,0.383$\pm$0.008,0.148$\pm$0.052,0.091$\pm$0.073,0.136$\pm$0.009,61%
H=30,2,0.369,0.386$\pm$0.008,0.163$\pm$0.088,0.088$\pm$0.076,0.133$\pm$0.009,58%
H=30,3,0.369,0.377$\pm$0.009,0.111$\pm$0.053,0.088$\pm$0.075,0.261$\pm$0.018,71%
H=30,4,0.369,0.393$\pm$0.011,0.128$\pm$0.061,0.089$\pm$0.074,0.300$\pm$0.017,68%
H=50,1,0.413,0.541$\pm$0.012,0.167$\pm$0.068,0.124$\pm$0.068,0.266$\pm$0.013,69%
H=50,2,0.413,0.521$\pm$0.013,0.144$\pm$0.073,0.120$\pm$0.066,0.252$\pm$0.013,72%
H=50,3,0.413,0.499$\pm$0.014,0.067$\pm$0.050,0.123$\pm$0.070,0.379$\pm$0.014,86%
H=50,4,0.413,0.492$\pm$0.021,0.121$\pm$0.058,0.151$\pm$0.129,0.377$\pm$0.019,75%
