Horizon,Severity,ECE (perturbed),ECE (Vmin restored),Recovered %,AUC (perturbed),AUC (Vmin restored)
H=10,1,0.330$\pm$0.002,0.038$\pm$0.008,88.5%,0.569,0.710
H=10,2,0.323$\pm$0.003,0.039$\pm$0.001,87.9%,0.513,0.679
H=10,3,0.312$\pm$0.001,0.060$\pm$0.004,80.8%,0.570,0.635
H=10,4,0.325$\pm$0.002,0.054$\pm$0.003,83.3%,0.666,0.624
H=20,1,0.323$\pm$0.003,0.122$\pm$0.006,62.3%,0.617,0.725
H=20,2,0.303$\pm$0.002,0.094$\pm$0.005,69.0%,0.580,0.758
H=20,3,0.304$\pm$0.001,0.044$\pm$0.004,85.4%,0.566,0.875
H=20,4,0.316$\pm$0.005,0.032$\pm$0.010,90.0%,0.678,0.854
H=30,1,0.390$\pm$0.002,0.145$\pm$0.015,62.8%,0.555,0.761
H=30,2,0.393$\pm$0.004,0.148$\pm$0.008,62.3%,0.488,0.743
H=30,3,0.380$\pm$0.002,0.131$\pm$0.007,65.7%,0.516,0.659
H=30,4,0.400$\pm$0.005,0.124$\pm$0.009,69.1%,0.643,0.640
H=50,1,0.542$\pm$0.001,0.277$\pm$0.010,49.0%,0.476,0.699
H=50,2,0.523$\pm$0.001,0.286$\pm$0.005,45.4%,0.526,0.667
H=50,3,0.498$\pm$0.004,0.275$\pm$0.000,44.8%,0.584,0.637
H=50,4,0.493$\pm$0.012,0.278$\pm$0.007,43.6%,0.765,0.635
